,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
A170055,木田医院,920-0942,石川県金沢市小立野５－１２－１５,076(231)3333,"3,080 ",○,満6歳以上,×,,
A170002,医療法人社団　香林坊メディカルクリニック,920-0961,石川県金沢市香林坊２－９－１０,076(231)2031,"3,000 ",○,満16歳以上,×,,
A170045,土田整形外科クリニック,920-1156,石川県金沢市田上の里２－１２８,076(282)7886,"2,500 ",○,満2歳以上,×,,
A170035,丘村クリニック,920-3124,石川県金沢市荒屋１－８７,076(258)6116,"3,000 ",○,満15歳以上,×,,
A170058,三宅医院,920-3126,石川県金沢市福久１－９５,076(257)7600,"3,080 ",○,満1歳以上,×,,
A170048,医療法人社団　加藤小児科医院,921-8011,石川県金沢市入江１－１１３,076(291)1821,"3,000 ",○,6ヵ月以上,×,,
A170056,医療法人社団　英和会　うきた産婦人科医院,921-8013,石川県金沢市新神田４－７－２５,076(291)2277,"3,080 ",○,満13歳以上,×,,
A170042,佐伯ペインクリニック,921-8036,石川県金沢市弥生２－２１－１５,076(280)2262,"3,000 ",○,満6歳以上,×,,
A170054,近藤内科医院,921-8054,石川県金沢市西金沢３－１４５,076(249)3666,"3,080 ",○,満1歳以上,×,,
A170044,中嶋医院,921-8111,石川県金沢市若草町２－３５,076(241)7717,"3,000 ",○,満15歳以上,×,,
A170026,山下医院,921-8117,石川県金沢市緑が丘３－７,076(241)0836,"3,000 ",×,,×,,
A170074,特定医療法人扇翔会　南ヶ丘病院,921-8141,石川県金沢市馬替２－１２５,076(298)3366,"3,080 ",○,満16歳以上,×,,
A170034,永田小児科医院,921-8151,石川県金沢市窪５－６３０,076(247)3330,"3,000 ",○,0ヵ月以上,×,,
A170036,さかえ内科クリニック,921-8151,石川県金沢市窪３－１８５,076(280)3066,"3,080 ",○,満6歳以上,×,,
A170075,医療法人社団　中央会　金沢有松病院,921-8161,石川県金沢市有松５－１－７,076(242)2111,"3,080 ",○,満15歳以上,×,,
A170022,医療法人社団　大斉会　さいとう内科医院,921-8162,石川県金沢市三馬１－４００,076(247)2011,"3,000 ",×,,×,,
A170066,川田内科クリニック,921-8163,石川県金沢市横川６－７２,076(280)6200,"3,000 ",○,満1歳以上,×,,
A170017,森川整形外科医院,921-8163,石川県金沢市横川６－１０７,076(241)2155,"3,080 ",×,,×,,
A170013,喜多内科医院,921-8817,石川県野々市市横宮町７－２０,076(248)0020,"2,500 ",○,満1歳以上,×,,
A170037,医療法人社団　昴生会　吉田医院,922-0112,"石川県加賀市山中温泉西桂木町ト－４－
２",0761(78)0045,"3,080 ",○,満3歳以上,×,,
A170050,医療法人社団　大有　のざきクリニック,922-0423,石川県加賀市作見町ヘ１７－１,0761(72)7002,"3,080 ",○,満7歳以上,×,,
A170038,（医）吉田耳鼻咽喉科医院,923-0831,石川県小松市打越町丁１４－１,0761(23)1587,"3,080 ",○,満1歳以上,×,,
A170046,よしだ小児科クリニック,923-1225,石川県能美市松が岡３－６７,0761(51)6100,"3,080 ",○,6ヵ月以上,×,,
A170071,特定医療法人社団　勝木会　やわたメディカルセンター　健診センター,923-8551,石川県小松市八幡イ１２－７,0761(47)1216,"3,080 ",○,満13歳以上,○,"3,080 ",1事業所1回訪問100名以上
A170073,安原医院,924-0801,石川県白山市田中町２４２,076(275)2008,"3,080 ",○,満3歳以上,×,,
A170005,やなぎ内科クリニック,924-0802,石川県白山市専福寺町１６１－１,076(277)6200,"3,000 ",○,満6歳以上,×,,
A170069,うおぎし医院,926-0028,石川県七尾市藤野町ハ部１６,0767(52)1123,"3,000 ",○,満3歳以上,×,,
A170053,医療法人　とね内科医院,926-0052,石川県七尾市山王町ツ部３６－１,0767(53)3331,"3,000 ",○,満10歳以上,×,,
A170007,あさもとクリニック,929-0112,石川県能美市福島町タ３８－３,0761(56)0880,"3,000 ",○,満3歳以上,×,,
A180004,医療法人　慈豊会　田中病院,910-0005,福井県福井市大手２－３－１,0776(22)8500,"3,080 ",○,満6歳以上,×,,
A180024,中井内科医院,910-0005,"福井県福井市大手３－７－１
繊協ビル３階",0776(22)6686,"3,000 ",○,満13歳以上,×,,
A180028,多賀内科循環器科医院,910-0015,福井県福井市二の宮４－２－６,0776(27)0888,"3,000 ",○,満7歳以上,×,,
A180029,高橋クリニック,910-0017,福井県福井市文京３－２４－１２,0776(27)2320,"3,080 ",○,満1歳以上,×,,
A180027,宇賀治医院,910-0018,福井県福井市田原２－６－１１,0776(23)2695,"3,000 ",○,満1歳以上,×,,
A180032,中永医院,910-0023,福井県福井市順化１－１８－１７,0776(22)6437,"3,080 ",○,0ヵ月以上,×,,
A180022,公益財団法人　福井県労働衛生センター,910-0029,福井県福井市日光１－３－１０,0776(25)2206,"3,000 ",○,満18歳以上,○,"3,000 ",1事業所1回訪問10名以上
A180040,医療法人社団　畑内科,910-0143,福井県福井市下森田新町１５－３６,0776(56)0210,"3,000 ",○,満1歳以上,×,,
A180035,舟橋内科クリニック,910-0808,福井県福井市舟橋１－１１０,0776(54)6565,"2,500 ",○,満1歳以上,×,,
A180025,あらい内科クリニック,910-0837,"福井県福井市高柳２－１３０１
レインボービル５Ｆ",0776(54)8334,"3,080 ",○,満7歳以上,×,,
A180021,門整形外科,910-0843,福井県福井市西開発１－２４０５,0776(53)1700,"2,500 ",○,満7歳以上,×,,
A180037,清水南医院,910-3616,福井県福井市真栗町３８－３,0776(98)5113,"3,000 ",○,満1歳以上,×,,
A180043,渡辺医院,912-0015,福井県大野市中挾１－１４０１,0779(66)6123,"3,080 ",○,満1歳以上,×,,
A180018,つるが生協診療所,914-0123,福井県敦賀市和久野１４－２２－１,0770(21)0176,"3,080 ",○,満1歳以上,×,,
A180001,月岡医院,915-0811,福井県越前市本多１－１０－１８,0778(23)0220,"3,080 ",○,満1歳以上,×,,
A180023,医療法人　野尻内科胃腸科医院,916-0013,福井県鯖江市鳥羽２－４－１６,0778(51)1460,"3,080 ",○,満1歳以上,×,,
A180017,木村病院,916-0025,福井県鯖江市旭町４－４－９,0778(51)0478,"3,080 ",○,満13歳以上,×,,
A180005,斎藤医院,916-0026,福井県鯖江市本町３－１－２５,0778(51)0073,"3,080 ",×,,×,,
A180041,吉井医院,917-0086,福井県小浜市小浜塩竈区８１－１,0770(52)0028,"2,800 ",○,満6歳以上,○,"2,800 ",1事業所1回訪問10名以上
A180012,医療法人　貴昭会　大久保外科内科医院,918-8004,福井県福井市西木田２－１１－８,0776(36)6268,"3,000 ",○,0ヵ月以上,×,,
A180042,医療法人　宮崎整形外科医院,918-8057,福井県福井市加茂河原３－８－６,0776(33)1111,"3,000 ",○,満5歳以上,×,,
A180008,医療法人　雄久会　奥村外科胃腸科,918-8105,福井県福井市木田１－３４１５,0776(33)1500,"3,000 ",×,,×,,
A180038,谷口医院,918-8136,福井県福井市天王町第２０号４１,0776(41)1013,"3,000 ",○,満1歳以上,×,,
A180016,公益財団法人　福井県予防医学協会,918-8238,福井県福井市和田２－１００６,0776(23)2777,"3,080 ",×,,○,"3,080 ",1事業所1回訪問20名以上
A180044,福井厚生病院,918-8537,福井県福井市下六条町２０１,0776(41)7130,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問10名以上
A180045,春江病院,919-0414,福井県坂井市春江町江留下屋敷６２－５,0776(51)0029,"3,000 ",○,満7歳以上,×,,
A190009,医療法人社団　聡生会　ひはら整形外科,400-0015,山梨県甲府市大手３－１－３７,055(254)7778,"3,000 ",○,満1歳以上,×,,
A190039,医療法人　翠風会　藤原医院,400-0026,山梨県甲府市塩部４－１５－１６,055(252)2588,"3,000 ",○,満7歳以上,×,,
A190029,橘田耳鼻咽喉科医院,400-0032,山梨県甲府市中央２－１２－２８,055(237)3387,"3,000 ",○,満1歳以上,×,,
A190032,なかざわ耳鼻咽喉科クリニック,400-0035,山梨県甲府市飯田２－３－９,055(233)8744,"3,000 ",○,満1歳以上,×,,
A190012,医療法人社団　ふなやまペインクリニック,400-0043,山梨県甲府市国母１－２２－２０,055(221)1374,"3,080 ",○,満6歳以上,×,,
A190045,医療法人　なかじま胃腸クリニック,400-0043,山梨県甲府市国母８－２８－３,055(288)0001,"3,000 ",○,満13歳以上,×,,
A190016,医療法人　清水医院,400-0053,山梨県甲府市大里町２９４０,055(241)1181,"3,000 ",○,0ヵ月以上,×,,
A190024,医療法人　仁明会　ながまつ医院,400-0058,山梨県甲府市宮原町８８－１,055(242)2015,"3,000 ",○,満1歳以上,×,,
A190005,清水内科外科医院,400-0074,山梨県甲府市千塚４－９－１６,055(252)3986,"3,000 ",○,満1歳以上,×,,
A190008,医療法人　斐水会　ながせき頭痛クリニック,400-0124,山梨県甲斐市中下条１８４４－３,055(267)2211,"3,000 ",○,満6歳以上,×,,
A190052,井口クリニック,400-0215,山梨県南アルプス市上八田１４０－８９,055(285)7005,"3,000 ",○,満1歳以上,×,,
A190011,堀内眼科,400-0306,山梨県南アルプス市小笠原３８６,055(282)0229,"3,000 ",○,満1歳以上,×,,
A190004,笹本クリニック,400-0405,山梨県南アルプス市下宮地４３３－１,055(282)4114,"3,000 ",○,満6歳以上,×,,
A190001,医療法人　慈光会　甲府城南病院,400-0831,山梨県甲府市上町７５３－１,055(243)6550,"3,000 ",○,満18歳以上,○,"3,000 ",1事業所1回訪問30名以上
A190030,医療法人　淳道会　隈部小児科医院,400-0855,山梨県甲府市中小河原１－１４－３,055(243)0510,"3,000 ",○,満1歳以上,×,,
A190025,はちすか整形外科クリニック,401-0011,山梨県大月市駒橋１－２－３６,0554(22)1117,"3,080 ",○,満1歳以上,×,,
A190013,勝山診療所,401-0310,"山梨県南都留郡富士河口湖町勝山４５７
５－１０",0555(20)9333,"3,000 ",○,満1歳以上,×,,
A190051,東桂メディカルクリニック,402-0031,山梨県都留市十日市場９５８－１,0554(20)8010,"3,080 ",○,満1歳以上,×,,
A190019,富士の森クリニック,403-0005,山梨県富士吉田市上吉田７－１２－１４,0555(30)5522,"3,000 ",○,満1歳以上,×,,
A190046,中里内科クリニック　ＤＭ,405-0072,山梨県笛吹市一宮町本都塚１４８－１,0553(47)7222,"3,080 ",○,満16歳以上,×,,
A190003,小林医院,406-0031,山梨県笛吹市石和町市部１０２１,055(262)3185,"3,000 ",○,満1歳以上,×,,
A190048,三枝クリニック,406-0043,山梨県笛吹市石和町河内３７－２,055(261)2555,"3,000 ",○,6ヵ月以上,×,,
A190021,八代戸田内科クリニック,406-0831,山梨県笛吹市八代町高家３０４－１,055(265)3366,"3,080 ",○,満13歳以上,×,,
A190027,医療法人本町会　本町クリニック,407-0024,山梨県韮崎市本町２－１９－３,0551(22)8741,"2,500 ",○,満3歳以上,×,,
A190050,医療法人　和州会　吉田医院,408-0312,山梨県北杜市白州町白須１００８－１,0551(35)0121,"3,000 ",○,満1歳以上,×,,
A190043,阿部ファミリークリニック,409-1313,山梨県甲州市勝沼町１０５２,0553(44)1131,"3,080 ",○,満1歳以上,○,"3,080 ",1事業所1回訪問5名以上
A190034,玉穂ふれあい診療所,409-3815,山梨県中央市成島２４３９－１,055(278)5670,"3,000 ",○,0ヵ月以上,×,,
A200043,医療法人　愛和会　愛和病院,380-0904,長野県長野市鶴賀１０４４－２,026(217)3991,"3,000 ",○,満16歳以上,×,,
A200025,田中小児科医院,380-0943,長野県長野市差出南２－９－１８,026(224)4388,"3,000 ",○,6ヵ月以上,×,,
A200039,（医）みずき会　花岡内科医院,381-0043,長野県長野市吉田５－３１－４２,026(243)7780,"3,080 ",○,満1歳以上,×,,
A200012,岡野医院,381-0208,長野県上高井郡小布施町六川１４,026(247)5212,"3,000 ",○,0ヵ月以上,×,,
A200035,わたなべクリニック,381-2246,長野県長野市丹波島２－１８－１５,026(285)3777,"3,000 ",○,満1歳以上,×,,
A200074,公益財団法人　長野県健康づくり事業団　長野健康センター診療所,381-2298,長野県長野市稲里町田牧２０６－１,026(286)6410,"3,000 ",○,満18歳以上,×,,
A200073,医療法人公仁会　轟病院,382-0000,長野県須坂市大字須坂１２３９,026(245)0126,"2,900 ",○,満6歳以上,×,,
A200023,佐藤医院,382-0076,長野県須坂市大字須坂１２２４－２０,026(246)5300,"3,080 ",○,0ヵ月以上,×,,
A200026,医療法人社団　慈圭会　高橋内科医院,384-0032,長野県小諸市古城２－２－２６,0267(23)8110,"3,080 ",○,満16歳以上,×,,
A200051,医療法人　小松耳鼻咽喉科クリニック,385-0022,長野県佐久市岩村田１３１１－９,0267(66)6300,"3,000 ",○,満13歳以上,×,,
A200037,山浦内科クリニック,386-0407,長野県上田市長瀬３４４１－４,0268(71)0170,"3,080 ",○,満1歳以上,×,,
A200040,医療法人　小林会　小林医院,386-2203,長野県上田市真田町傍陽５７１,0268(75)3555,"3,000 ",○,満1歳以上,×,,
A200054,兒玉医院,387-0016,長野県千曲市寂蒔９３,026(272)4300,"3,000 ",○,6ヵ月以上,×,,
A200057,中沢内科医院,387-0021,長野県千曲市稲荷山２７４－１,026(272)1013,"3,000 ",○,0ヵ月以上,×,,
A200052,医療法人　岡田外科医院,387-0021,長野県千曲市稲荷山５７９,026(272)2828,"3,080 ",○,満1歳以上,×,,
A200050,中島医院,389-0404,長野県東御市大日向区２４０３,0268(67)2777,"3,000 ",○,満1歳以上,×,,
A200004,医療法人　学思会　東御記念セントラルクリニック,389-0517,長野県東御市県１６５－１,0268(62)1231,"3,080 ",○,満1歳以上,×,,
A200060,やまざき医院,389-0805,長野県千曲市上徳間３４６,026(276)2700,"3,000 ",○,満3歳以上,×,,
A200044,医療法人誠仁会　降旗医院,390-0822,長野県松本市神田１－１－８,0263(25)3989,"3,080 ",○,満13歳以上,×,,
A200047,三村医院,390-1131,長野県松本市今井１２２２,0263(59)2010,"3,080 ",○,満1歳以上,×,,
A200020,渡辺内科クリニック,392-0012,長野県諏訪市四賀１７７０－３,0266(53)6088,"3,000 ",○,満1歳以上,×,,
A200027,今井内科・胃腸科クリニック,394-0001,長野県岡谷市今井１２１１,0266(24)8688,"2,500 ",○,満1歳以上,○,"2,500 ",1事業所1回訪問15名以上
A200022,酒井医院,394-0028,長野県岡谷市本町２－１－２,0266(22)2121,"3,080 ",○,満13歳以上,×,,
A200065,医療法人　幸仁会　田畑内科医院,396-0015,長野県伊那市中央４９５３－２,0265(78)6668,"3,000 ",○,0ヵ月以上,×,,
A200059,原内科消化器科医院,396-0112,長野県伊那市前原８３９１－１,0265(77)0177,"3,080 ",○,満2歳以上,×,,
A200053,加藤診療所,398-0001,"長野県大町市平（大町温泉郷）２８１０
－３",0261(22)0989,"3,000 ",○,6ヵ月以上,×,,
A200063,平林耳鼻咽喉科医院,398-0004,長野県大町市常盤５８９７－２７,0261(26)3030,"3,000 ",○,満1歳以上,×,,
A200062,医療法人　柿下クリニック,398-0004,長野県大町市常盤３５４１－１４,0261(21)1230,"3,000 ",○,満1歳以上,×,,
A200071,一般財団法人　労働衛生協会　長野県支部,399-0422,長野県上伊那郡辰野町平出１９９４－２,0266(41)3018,"3,080 ",○,満18歳以上,×,,
A200001,清水外科胃腸科医院,399-0701,長野県塩尻市広丘吉田２９４－２,0263(58)2474,"3,080 ",○,満1歳以上,×,,
A200018,小口内科医院,399-0744,長野県塩尻市大門８６８－２１７,0263(51)0233,"3,000 ",○,0ヵ月以上,×,,
A200070,医療法人社団　敬仁会　桔梗ヶ原病院　健診センター,399-6461,長野県塩尻市宗賀１２９５,0263(54)0055,"3,080 ",○,満18歳以上,×,,
A200033,（医）丸山整形外科医院,399-8201,長野県安曇野市豊科南穂高２８３－１,0263(72)7000,"3,080 ",○,満7歳以上,×,,
A200024,こうの内科循環器科,399-8201,長野県安曇野市豊科南穂高２７１－１０,0263(71)5881,"3,000 ",○,満1歳以上,×,,
A200021,（医）丸山内科クリニック,399-8205,長野県安曇野市豊科４３０１－６,0263(72)6188,"3,000 ",○,満1歳以上,×,,
A200072,髙橋医院,399-8303,長野県安曇野市穂高５６２２－１,0263(82)2561,"3,080 ",○,6ヵ月以上,×,,
A210005,安江内科クリニック,500-8136,岐阜県岐阜市雪見町２－１７,058(248)2266,"3,080 ",○,満13歳以上,×,,
A210012,医療法人　凌峯会　小島内科クリニック,500-8156,岐阜県岐阜市祈年町１０－３８,058(246)6005,"3,080 ",○,満3歳以上,×,,
A210020,医療法人社団　明徳会　はしもと内科,500-8225,岐阜県岐阜市岩地１－２－８,058(245)5641,"3,080 ",○,満1歳以上,○,"3,080 ",1事業所1回訪問10名以上
A210032,梶川整形外科クリニック,500-8237,岐阜県岐阜市切通８－１－２６,058(248)1899,"2,000 ",○,満6歳以上,×,,
A210017,あかなべクリニック,500-8269,岐阜県岐阜市茜部中島１－２５－１,058(278)2555,"3,080 ",○,満1歳以上,×,,
A210038,江崎医院,500-8323,岐阜県岐阜市鹿島町３－４－１,058(251)4953,"3,000 ",○,満6歳以上,×,,
A210022,本荘内科・呼吸器科,500-8324,"岐阜県岐阜市早苗町１－２４
ベルハウス１階Ｃ室",058(251)2530,"3,080 ",○,満1歳以上,×,,
A210034,岐阜メイツ睡眠クリニック,500-8384,岐阜県岐阜市薮田南４－１５－２０,058(272)9300,"2,300 ",○,満3歳以上,×,,
A210041,医療法人社団　操健康クリニック,500-8384,岐阜県岐阜市薮田南１－４－２０,058(276)3131,"3,080 ",○,0ヵ月以上,○,"3,080 ",1事業所1回訪問100名以上
A210039,西野町クリニック,500-8882,岐阜県岐阜市西野町４－４３,058(262)8559,"3,000 ",○,満12歳以上,×,,
A210004,広瀬内科クリニック,501-0222,岐阜県瑞穂市別府１０７４－１,058(326)7773,"3,000 ",○,満13歳以上,×,,
A210019,東クリニック,501-1155,岐阜県岐阜市又丸宮東２０－１,058(239)6612,"3,080 ",○,満1歳以上,×,,
A210023,兼村こどもクリニック,501-3213,岐阜県関市東貸上８,0575(25)0611,"3,080 ",○,6ヵ月以上,×,,
A210001,一般社団法人　ぎふ綜合健診センター,501-6133,岐阜県岐阜市日置江４－４７,058(279)3399,"3,024 ",○,満16歳以上,×,,
A210008,医療法人社団　平成会　渡邉医院,501-6241,岐阜県羽島市竹鼻町２２－１,058(392)2223,"3,080 ",○,満1歳以上,×,,
A210025,小倉医院,502-0047,岐阜県岐阜市長良葵町１－２－３,058(231)1573,"3,000 ",○,6ヵ月以上,×,,
A210045,国民健康保険　関ケ原病院,503-1514,岐阜県不破郡関ケ原町２４９０－２９,0584(43)1122,"3,000 ",○,満12歳以上,×,,
A210010,いちょう通り　藤村クリニック,504-0815,"岐阜県各務原市蘇原東栄町
２－１００－１",058(383)0388,"3,080 ",○,満1歳以上,×,,
A210037,野尻内科医院,505-0015,岐阜県美濃加茂市下米田町今１３４－１,0574(24)0633,"3,000 ",○,満1歳以上,×,,
A210015,一般財団法人　岐阜健康管理センター　すこやかクリニック,505-0046,岐阜県美濃加茂市西町１－２９２,0574(25)2982,"3,080 ",○,満6歳以上,×,,
A210033,ＭＩＳＴクリニック,508-0037,"岐阜県中津川市えびす町７－３０
ＩＳＨＩＸ駅前ビル５階",0573(67)9730,"3,000 ",○,満13歳以上,×,,
A220078,医療法人社団　エムエムシー　村田内科クリニック,410-2322,静岡県伊豆の国市吉田３５４－１,0558(76)8866,"3,000 ",○,満1歳以上,×,,
A220065,こまきウイメンズクリニック,411-0038,静岡県三島市西若町７－４５,055(972)1057,"3,080 ",○,満1歳以上,×,,
A220017,医療法人社団静岡健生会　三島共立病院,411-0817,静岡県三島市八反畑１２０－７,055(973)0882,"3,000 ",○,満1歳以上,×,,
A220080,公益社団法人有隣厚生会　富士病院,4120043,静岡県御殿場市新橋１７８４,0550(83)6843,"3,080 ",○,満20歳以上,×,,
A220038,医療法人社団　慈生会　梅園ヘルスケアクリニック,413-0032,静岡県熱海市梅園町１５－１２,0557(84)0471,"3,080 ",○,満1歳以上,×,,
A220064,服部医院,413-0103,静岡県熱海市網代４６２－８,0557(68)0050,"2,500 ",○,満1歳以上,×,,
A220008,船津クリニック,416-0955,静岡県富士市川成新町２９５,0545(65)7272,"3,080 ",×,,×,,
A220053,せきクリニック,417-0061,静岡県富士市伝法６５６－１,0545(73)2332,"3,080 ",○,満1歳以上,×,,
A220087,医療法人社団　喜生会　新富士病院,417-0801,静岡県富士市大淵字大峯３８９８－１,0545(36)2211,"3,000 ",○,満18歳以上,×,,
A220083,医療法人社団　優仁会　協愛医院,418-0067,静岡県富士宮市宮町８－７,0544(26)2710,"2,500 ",○,満1歳以上,×,,
A220091,東部メディカル健康管理センター,419-0114,静岡県田方郡函南町仁田楠台７７７－４,055(979)2657,"3,080 ",○,満15歳以上,×,,
A220025,ときわ公園クリニック,420-0034,静岡県静岡市葵区常磐町３－６－１４,054(252)6099,"3,080 ",○,0ヵ月以上,○,"2,980 ",1事業所1回訪問30名以上
A220035,吉川医院,420-0804,静岡県静岡市葵区竜南１－１４－３１,054(247)0123,"3,080 ",○,満13歳以上,×,,
A220037,進藤医院,420-0842,静岡県静岡市葵区銭座町１０２－２,054(245)5611,"3,000 ",○,満1歳以上,×,,
A220067,社会福祉法人　聖隷福祉事業団　聖隷静岡健診クリニック,420-0851,静岡県静岡市葵区黒金町５５,054(280)6211,"3,080 ",○,満16歳以上,×,,
A220076,内科・消化器科・循環器科・神経内科　長谷通りクリニック,420-0882,静岡県静岡市葵区安東１－２１－９,054(200)0808,"3,000 ",○,満1歳以上,×,,
A220042,医療法人社団　啓心会　五十嵐医院,421-3203,静岡県静岡市清水区蒲原３－１１－１３,054(385)2251,"3,000 ",○,満1歳以上,×,,
A220086,医療法人社団池田会　渡辺内科医院,422-8005,静岡県静岡市駿河区池田６４９－１,054(264)1481,"3,080 ",○,満3歳以上,×,,
A220041,江尻掖済会診療所,424-0823,静岡県静岡市清水区島崎町１６１－２４,054(352)2796,"3,080 ",×,,×,,
A220077,みやはら内科クリニック,426-0033,静岡県藤枝市小石川町１－７－２０,054(647)5670,"3,080 ",○,満1歳以上,×,,
A220054,きくち内科クリニック,430-0802,静岡県浜松市東区将監町１２－１３,053(468)7255,"3,000 ",○,0ヵ月以上,×,,
A220052,多々見クリニック,432-8018,静岡県浜松市中区蜆塚１－６－７,053(455)7755,"3,080 ",○,0ヵ月以上,×,,
A220071,なかむらクリニック,432-8061,"静岡県浜松市西区入野町１９９５４－
５５０",053(440)3687,"3,080 ",○,満1歳以上,×,,
A220081,やなせ内科呼吸器科クリニック,433-8105,静岡県浜松市北区三方原町５６５－１,053(414)5886,"3,080 ",○,満12歳以上,×,,
A220068,西遠クリニック,434-0026,静岡県浜松市浜北区東美薗１５４６－８,053(586)1552,"3,080 ",○,満1歳以上,×,,
A220051,寺田クリニック,434-0036,静岡県浜松市浜北区横須賀１８３－１,053(585)8000,"3,000 ",○,満1歳以上,×,,
A220075,中川クリニック,434-0036,静岡県浜松市浜北区横須賀６９１,053(584)3433,"3,000 ",○,満2歳以上,×,,
A220044,（公財）静岡県予防医学協会　西部検査所,435-0006,静岡県浜松市東区下石田町９５１,053(422)7800,"3,080 ",×,,○,"3,080 ",1事業所1回訪問50名以上
A220011,増田内科・循環器科医院,436-0068,静岡県掛川市御所原２５－２,0537(21)0200,"3,080 ",○,6ヵ月以上,×,,
A220062,医療法人社団　山梨堀尾医院,437-0125,静岡県袋井市上山梨１４８２－８,0538(48)5119,"3,080 ",○,満1歳以上,×,,
A220056,河合整形外科,438-0051,静岡県磐田市上大之郷２９８,0538(32)0102,"3,000 ",○,満18歳以上,×,,
A220047,かげやまクリニック,438-0807,静岡県磐田市富里３９－２,0538(38)5800,"3,000 ",○,満1歳以上,×,,
A220059,木佐森医院,439-0006,静岡県菊川市堀之内１２５７,0537(35)2033,"3,080 ",○,満1歳以上,×,,
A230116,医療法人　駿豊会　遠山クリニック,440-0076,愛知県豊橋市大橋通１－８９,0532(55)3181,"3,080 ",○,0ヵ月以上,×,,
A230056,医療法人　憲成会　皆藤クリニック,442-0036,愛知県豊川市豊川栄町２０,0533(86)3300,"3,080 ",○,0ヵ月以上,×,,
A230053,医療法人　信愛会　大石医院,442-0854,愛知県豊川市国府町流霞１０３,0533(88)2235,"3,000 ",○,6ヵ月以上,×,,
A230104,オリエンタル蒲郡健診センター,443-0014,愛知県蒲郡市海陽町２－２,0533(59)7171,"3,080 ",○,満16歳以上,×,,
A230112,谷口クリニック,444-0226,愛知県岡崎市中島町住吉西３－３,0564(57)7801,"3,000 ",○,満1歳以上,×,,
A230118,医療法人　岡崎駅前クリニック,444-0813,愛知県岡崎市羽根町東荒子３８－１,0564(83)6667,"3,080 ",○,満10歳以上,×,,
A230097,アイエムクリニック・安城,446-0073,愛知県安城市篠目町１－１１－１６,0566(91)2065,"3,000 ",○,満1歳以上,×,,
A230131,小垣江にしおクリニック,448-0813,愛知県刈谷市小垣江町石ノ戸３３,0566(27)2400,"3,080 ",○,満1歳以上,×,,
A230013,医療法人　松柏会　国際セントラルクリニック,450-0001,"愛知県名古屋市中村区那古野
１－４７－１　国際センタービル１０階",052(561)0633,"3,000 ",○,満15歳以上,○,"3,000 ",1事業所1回訪問50名以上
A230012,医療法人　松柏会　テルミナセントラルクリニック,450-0002,"愛知県名古屋市中村区名駅
３－２６－１３－１２階",052(587)0311,"3,000 ",○,満15歳以上,○,"3,000 ",1事業所1回訪問50名以上
A230002,医療法人　尚仁会　名古屋ステーションクリニック,450-0002,"愛知県名古屋市中村区名駅４－６－１７
名古屋ビルデイング８Ｆ",052(551)6663,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問30名以上
A230093,一般財団法人毎日ドクター,450-0002,"愛知県名古屋市中村区名駅２－４５－
１９　桑山ビル５階",052(581)2526,"3,080 ",○,満7歳以上,×,,
A230010,一般財団法人　全日本労働福祉協会　東海診療所,450-0003,"愛知県名古屋市中村区名駅南
１－２４－２０　三井ビルディング新館３Ｆ",052(582)0751,"3,080 ",×,,×,,
A230101,医療法人　慶和会　ひまわりクリニック,451-0051,"愛知県名古屋市西区則武新町３－８
－２０",052(571)0801,"3,024 ",○,満13歳以上,×,,
A230019,豊和病院,452-0905,愛知県清須市須ケ口４１３,052(400)5281,"3,000 ",○,満7歳以上,×,,
A230077,一般財団法人　公衆保健協会,453-0804,"愛知県名古屋市中村区黄金通２－４５
－２",052(481)2161,"3,000 ",○,満6歳以上,○,"3,000 ",1事業所1回訪問50名以上
A230026,小塚内科クリニック,454-0954,愛知県名古屋市中川区江松１－１９１３,052(309)3021,"3,080 ",○,6ヵ月以上,×,,
A230108,戸田ファミリークリニック,454-0961,"愛知県名古屋市中川区戸田明正
２－３０１",052(439)0039,"3,080 ",○,0ヵ月以上,×,,
A230067,一般財団法人　全日本労働福祉協会東海支部,457-0044,愛知県名古屋市南区柵下町２－４,052(822)2525,"3,080 ",×,,○,"3,080 ",1事業所1回訪問100名以上
A230017,医療法人　名翔会　名古屋セントラルクリニック,457-0071,愛知県名古屋市南区千亀通７－１６－１,052(819)1850,"3,000 ",○,満15歳以上,○,"3,000 ",1事業所1回訪問50名以上
A230121,医療法人財団医親会　マリンクリニック,460-0002,"愛知県名古屋市中区丸の内３－２０
－１７　中外東京海上ビル４階",052(954)8001,"3,000 ",○,満18歳以上,×,,
A230089,（医）寿芳会　加藤内科胃腸科,460-0002,"愛知県名古屋市中区丸の内３－１６－
１６",052(962)3585,"3,080 ",○,満10歳以上,×,,
A230072,医療法人　敬愛会　奥田クリニック健診センター,460-0003,愛知県名古屋市中区錦１－４－２８,052(387)8166,"2,000 ",×,,○,"3,000 ",1事業所1回訪問30名以上
A230132,一般財団法人　日本予防医学協会　附属診療所　ウェルビーイング栄,460-0004,"愛知県名古屋市中区新栄町１－３
日丸名古屋ビルＢ１階",052(950)3707,"3,078 ",○,満18歳以上,○,"3,078 ",1事業所1回訪問50名以上
